Reporting Organization,Operating Unit,Activity Name,Activity Code,Indicator Code,Indicator Origin,Disaggregate Country,Disaggregate Commodity,UDN,Disaggregate Code,Disaggregate Name,Fiscal Year,Collection Period Name,Collection Review Status,Initiative Review Status,Target,Actual,Deviation,Deviation Narrative,Is Disaggregate Blank,Collection Period Comments
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3,EG.3-2,Number of individuals participating in USG food security programs [IM-level],2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,-,N,-
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1,3.1,Sex of individuals participating (no double counting),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1.1,3.1.1,Male,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1.2,3.1.2,Female,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1.3,3.1.3,Not Applicable (for household members counted from HH-level interventions),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1.4,3.1.4,Disaggregates Not Available,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.1.5,3.1.5,Neither,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2,3.2,Age Category of individuals participating (no double counting),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2.1,3.2.1,"School-aged children (only for total reached by USG school feeding programs, regardless of actual age)",2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2.2,3.2.2,15-29,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2.3,3.2.3,30+,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2.4,3.2.4,Not Applicable (for household members counted from HH-level interventions),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.2.5,3.2.5,Disaggregates Not Available,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3,3.3,Type of individuals participating (double-counting allowed),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,N,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.1,3.3.1,Parents/caregivers,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.2,3.3.2,Household members (household-level interventions only),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.3,3.3.3,School-aged children (only for USG school feeding programs),2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
USAID,Bureau for Resilience and Food Security (RFS),AVRDC The World Vegetable Center- child 4: Maximizing the power of partnering with the private sector for impact,00001974,EG.3-2,FTF,_Multi-region/Global,-,3.3.4,3.3.4,People in government,2023,FY2023-Qtr1,DE In-Progress,Not Ready,-,-,-,,Y,
